PDB,dice,fnat,RiRMS,lRMS,prot-carb_clash,carb-carb_clash
6X2Q.pdb,0.533,0.7,9.379,7.789,0,0
7ACX.pdb,0.0,0,58.662,59.403,0,0
7BLG.pdb,0.75,1.0,0.569,2.13,0,0
7C8F.pdb,0.2,0.5,6.932,6.216,0,0
7CDX.pdb,0.593,1.0,2.102,3.249,0,0
7DFS.pdb,0.378,0.875,0.49,0.657,0,0
7EIQ.pdb,0.074,0.5,2.327,2.816,1,0
7EN5.pdb,0.222,0.5,1.547,1.165,0,0
7EXG.pdb,0.8,1.0,0.96,1.841,0,0
7EXO.pdb,0.889,1.0,0.602,1.862,0,0
7F9G.pdb,0.706,1.0,1.605,2.541,0,0
7FH1.pdb,0.0,0,12.475,13.543,0,0
7JNF.pdb,0.444,0.667,3.016,3.67,0,0
7JWF.pdb,0.72,1.0,0.586,0.852,0,0
7LVY.pdb,0.0,0,44.733,43.954,0,0
7MZQ.pdb,0.0,0,10.838,11.275,0,0
7QF7.pdb,0.0,0,30.794,32.308,0,0
7RFT.pdb,0.435,0.333,10.213,10.671,0,0
7RPY.pdb,0.706,0.875,2.019,2.85,0,0
7SCJ.pdb,0.0,0,12.453,12.968,0,0
7TOH.pdb,0.571,0.75,4.43,5.008,0,0
7TVP.pdb,0.56,0.818,2.697,5.063,0,0
7UFU.pdb,0.421,1.0,0.37,2.087,0,0
7V1W.pdb,0.615,0.667,3.738,4.895,0,0
7VI7.pdb,0.476,1.0,1.06,2.89,0,0
7VU1.pdb,0.091,0.333,16.527,24.653,0,0
7VWB.pdb,0.571,1.0,1.337,1.589,0,0
7X05.pdb,0.609,0.75,8.174,6.546,0,0
7YWF.pdb,0.667,0.857,2.563,3.328,0,0
8AD2.pdb,0.8,0.833,3.494,4.66,0,0
8AXS.pdb,0.316,1.0,0.884,1.155,0,0
8CSE.pdb,0.125,0.333,2.442,3.389,0,0
8EDI.pdb,0.0,0,17.215,16.553,0,0
8IC1.pdb,0.69,0.643,6.043,5.88,0,0
