PDB,dice,fnat,RiRMS,lRMS,prot-carb_clash,carb-carb_clash
6X2Q.pdb,0.81,0.741,9.116,7.473,1,0
7ACX.pdb,0.0,0,24.379,23.83,0,0
7BLG.pdb,1.0,1.0,0.73,0.824,0,0
7C3D.pdb,0.846,0.5,0.464,7.05,0,4
7C6D.pdb,0.93,0.823,12.68,9.728,0,0
7C8F.pdb,1.0,0.667,3.559,3.753,0,0
7CDX.pdb,0.8,0.6,3.91,3.497,0,0
7DFS.pdb,0.737,0.964,0.442,0.982,3,0
7EIQ.pdb,0.462,0.375,7.125,7.824,0,0
7EN5.pdb,0.957,0.941,0.502,0.73,0,3
7EXG.pdb,0.933,1.0,0.373,0.653,0,1
7EXO.pdb,0.857,0.818,0.459,0.454,0,4
7F9G.pdb,0.923,1.0,0.314,1.316,0,0
7FH1.pdb,0.095,0.053,22.261,21.281,0,0
7JW4.pdb,0.182,0.133,8.596,8.797,0,0
7JW4_NEW.pdb,0.261,0.2,6.952,7.22,0,0
7JWF.pdb,0.516,0.28,7.275,6.299,0,0
7LVY.pdb,0.37,0.312,5.432,5.691,0,0
7MZQ.pdb,0.0,0,15.758,15.634,0,0
7NCZ.pdb,0.863,0.667,2.491,5.022,1,0
7QF7.pdb,0.0,0,34.79,34.698,0,0
7RFT.pdb,0.917,0.636,2.048,2.839,0,0
7RPY.pdb,0.963,0.895,1.145,1.55,8,0
7SCJ.pdb,0.588,0.636,7.664,5.491,0,0
7TOH.pdb,0.769,0.571,1.331,2.916,18,0
7TVP.pdb,0.867,0.708,5.037,4.989,1,0
7UWV.pdb,0.34,0.2,19.313,19.119,13,0
7V1W.pdb,0.522,0.462,4.116,4.936,1,0
7VI7.pdb,0.966,1.0,0.182,0.66,0,9
7VWB.pdb,0.667,0.571,6.326,4.94,0,0
7W11.pdb,0.564,0.417,5.818,6.072,0,0
7X05.pdb,0.408,0.364,3.326,3.985,30,0
7XTN.pdb,0.667,0.625,3.988,4.254,1,0
7YWF.pdb,0.632,0.5,5.599,5.613,2,0
8AD2.pdb,0.364,0.167,15.841,15.614,0,0
8AXS.pdb,0.545,1.0,0.591,0.001,0,0
8CSE.pdb,0.148,0.154,10.113,9.776,3,0
8D0Q.pdb,0.667,0.727,4.747,4.437,0,0
8EDI.pdb,0.0,0,43.083,43.223,1,0
8IC1.pdb,0.711,0.447,7.657,8.559,1,0
