PDB,dice,fnat,RiRMS,lRMS,prot-carb_clash,carb-carb_clash
6X2Q.pdb,0.176,0.111,21.277,20.308,0,0
7ACX.pdb,0.0,0,68.93,68.542,0,0
7BLG.pdb,0.923,0.857,0.737,1.922,0,0
7C3D.pdb,0.0,0,30.292,30.884,0,0
7C6D.pdb,0.914,0.806,1.772,3.115,3,0
7C8F.pdb,0.545,0.4,7.798,8.237,0,0
7CDX.pdb,0.774,0.65,4.077,3.0,0,0
7DFS.pdb,0.95,0.821,0.37,0.848,0,0
7EIQ.pdb,0.667,0.625,2.961,4.546,1,0
7EN5.pdb,0.5,0.294,2.158,3.432,0,0
7EXG.pdb,0.889,0.857,0.757,1.868,0,0
7EXO.pdb,0.857,0.818,0.601,1.452,0,0
7F9G.pdb,0.737,0.583,3.991,4.601,0,0
7FH1.pdb,0.0,0,32.937,31.528,2,0
7JNF.pdb,0.769,0.833,2.346,3.971,1,0
7LVY.pdb,0.357,0.312,4.858,5.106,0,0
7MZQ.pdb,0.0,0,15.314,15.271,0,0
7NCZ.pdb,0.0,0,37.255,35.52,3,0
7QF7.pdb,0.0,0,33.203,34.015,0,0
7RFT.pdb,0.87,0.5,7.9,6.106,0,0
7RPY.pdb,0.64,0.368,7.6,7.218,0,0
7SCJ.pdb,0.0,0,52.335,52.123,1,0
7TOH.pdb,0.867,0.81,1.006,2.457,0,0
7TVP.pdb,0.8,0.625,7.999,5.942,0,0
7UWV.pdb,0.233,0.2,18.106,17.85,7,0
7V1W.pdb,0.182,0.154,39.265,38.878,0,0
7VI7.pdb,0.815,0.786,0.779,1.905,2,0
7VU1.pdb,0.345,0.8,2.439,5.526,19,0
7VWB.pdb,0.2,0.143,17.835,17.492,1,0
7X05.pdb,0.667,0.591,3.642,4.733,4,0
7XTN.pdb,0.769,0.625,3.562,3.863,8,0
7YWF.pdb,0.737,0.667,5.564,4.944,0,0
8AD2.pdb,0.0,0,24.95,25.533,0,0
8AXS.pdb,0.727,0.667,0.841,1.836,0,0
8CSE.pdb,0.154,0.077,10.073,9.828,0,0
8EDI.pdb,0.0,0,50.682,51.173,5,0
8IC1.pdb,0.681,0.5,6.147,7.018,2,0
