PDB,dice,fnat,RiRMS,lRMS,prot-carb_clash,carb-carb_clash
6X2Q.pdb,0.062,0.037,23.024,22.157,6,0
7ACX.pdb,0.0,0,20.405,19.992,11,0
7BLG.pdb,0.769,0.714,0.606,1.844,1,0
7C3D.pdb,0.0,0,18.004,17.766,0,5
7C6D.pdb,0.914,0.79,12.979,9.878,1,0
7C8F.pdb,0.545,0.4,5.808,5.547,1,0
7CDX.pdb,0.812,0.75,2.485,3.451,0,0
7DFS.pdb,0.737,0.429,4.404,2.844,7,26
7EIQ.pdb,0.357,0.875,5.506,4.715,38,13
7EN5.pdb,0.526,0.294,2.093,2.2,0,0
7EXG.pdb,0.929,0.929,1.847,2.549,1,0
7EXO.pdb,0.818,0.818,0.239,1.488,0,0
7F9G.pdb,0.889,1.0,1.098,2.079,0,0
7FH1.pdb,0.1,0.105,24.983,24.484,71,1
7JNF.pdb,0.714,0.833,6.693,6.886,5,0
7JWF.pdb,0.865,0.8,1.608,2.369,0,0
7LVY.pdb,0.121,0.125,9.305,7.553,0,0
7MZQ.pdb,0.833,0.833,2.772,3.528,0,0
7NCZ.pdb,0.787,0.578,4.028,4.815,18,0
7QF7.pdb,0.636,0.6,8.497,8.851,35,1
7RFT.pdb,0.815,0.591,2.557,3.902,0,0
7RPY.pdb,0.4,0.421,5.003,5.702,19,0
7SCJ.pdb,0.0,0,57.571,56.294,1,0
7TOH.pdb,0.938,0.905,2.121,1.826,0,0
7TVP.pdb,0.625,0.458,5.223,6.154,2,0
7UFU.pdb,0.903,0.933,2.711,3.082,2,0
7UWV.pdb,0.5,0.28,5.602,4.331,4,8
7V1W.pdb,0.0,0,17.452,17.07,8,0
7VI7.pdb,0.857,0.857,0.794,0.598,1,0
7VU1.pdb,0.421,0.8,2.667,3.513,4,0
7VWB.pdb,0.8,0.714,3.207,3.969,2,0
7X05.pdb,0.71,0.545,8.541,6.658,0,0
7XTN.pdb,0.414,0.75,0.751,0.819,14,0
7YWF.pdb,0.6,0.583,1.968,3.104,3,0
8AD2.pdb,0.632,0.5,7.82,7.629,4,0
8AXS.pdb,0.571,0.5,1.594,3.206,2,0
8CSE.pdb,0.389,0.385,2.414,3.03,1,0
8EDI.pdb,0.385,0.235,14.557,10.227,37,32
8IC1.pdb,0.698,0.474,6.089,5.794,0,0
